Customer_No,Prediction,Probability_Prediction
93490,0,0.07
93491,0,0.09
93492,0,0.07
93493,0,0.27
93494,0,0.34
93495,0,0.24
93496,0,0.06
93497,0,0.11
93498,0,0.22
93499,0,0.11
93500,0,0.08
93501,0,0.3
93502,0,0.07
93503,0,0.18
93504,0,0.09
93505,0,0.07
93506,0,0.1
93507,0,0.01
93508,0,0.32
93509,0,0.28
93510,0,0.06
93511,0,0.06
93512,0,0.08
93513,0,0.24
93514,0,0.07
93515,0,0.07
93516,0,0.15
93517,0,0.01
93518,0,0.29
93519,0,0.07
93520,0,0.09
93521,0,0.11
93522,0,0.06
93523,0,0.4
93524,0,0.17
93525,0,0.07
93526,0,0.18
93527,0,0.06
93528,0,0.23
93529,0,0.1
93530,0,0.07
93531,0,0.01
93532,0,0.08
93533,0,0.11
93534,0,0.24
93535,0,0.08
93536,0,0.01
93537,0,0.31
93538,0,0.2
93539,0,0.02
93540,0,0.02
93541,0,0.11
93542,0,0.14
93543,0,0.18
93544,0,0.07
93545,0,0.02
93546,0,0.11
93547,0,0.42
93548,0,0.1
93549,0,0.11
93550,0,0.11
93551,0,0.22
93552,0,0.29
93553,0,0.11
93554,0,0.07
93555,0,0.17
93556,0,0.29
93557,0,0.07
93558,0,0.01
93559,0,0.09
93560,0,0.19
93561,0,0.1
93562,0,0.04
93563,0,0.11
93564,0,0.17
93565,0,0.08
93566,0,0.07
93567,0,0.04
93568,0,0.13
93569,0,0.2
93570,0,0.2
93571,0,0.08
93572,0,0.21
93573,0,0.17
93574,0,0.09
93575,0,0.09
93576,0,0.12
93577,0,0.03
93578,0,0.09
93579,0,0.01
93580,0,0.11
93581,0,0.47
93582,0,0.07
93583,0,0.17
93584,0,0.1
93585,0,0.07
93586,0,0.06
93587,0,0.09
93588,0,0.04
93589,0,0.07
93590,0,0.1
93591,0,0.09
93592,0,0.16
93593,0,0.09
93594,0,0.36
93595,0,0.02
93596,0,0.16
93597,0,0.07
93598,0,0.21
93599,0,0.07
93600,0,0.14
93601,0,0.21
93602,0,0.08
93603,0,0.14
93604,0,0.07
93605,0,0.04
93606,0,0.1
93607,0,0.05
93608,0,0.22
93609,0,0.07
93610,0,0.19
93611,0,0.14
93612,0,0.23
93613,0,0.03
93614,0,0.06
93615,0,0.07
93616,0,0.05
93617,0,0.1
93618,0,0.3
93619,0,0.07
93620,0,0.07
93621,0,0.07
93622,0,0.11
93623,0,0.07
93624,0,0.07
93625,0,0.05
93626,0,0.01
93627,0,0.07
93628,0,0.03
93629,0,0.1
93630,0,0.28
93631,0,0.06
93632,0,0.07
93633,0,0.07
93634,0,0.09
93635,0,0.07
93636,0,0.06
93637,0,0.19
93638,0,0.12
93639,0,0.11
93640,0,0.16
93641,0,0.13
93642,0,0.13
93643,0,0.01
93644,0,0.25
93645,0,0.36
93646,0,0.11
93647,0,0.06
93648,0,0.28
93649,0,0.23
93650,0,0.43
93651,0,0.16
93652,0,0.11
93653,0,0.08
93654,0,0.04
93655,0,0.28
93656,0,0.01
93657,0,0.07
93658,0,0.12
93659,0,0.08
93660,0,0.08
93661,0,0.35
93662,0,0.09
93663,0,0.07
93664,0,0.05
93665,0,0.07
93666,0,0.19
93667,0,0.07
93668,0,0.09
93669,0,0.07
93670,0,0.08
93671,0,0.09
93672,0,0.01
93673,0,0.21
93674,0,0.1
93675,0,0.04
93676,0,0.3
93677,0,0.07
93678,0,0.04
93679,0,0.02
93680,0,0.04
93681,0,0.09
93682,0,0.07
93683,0,0.07
93684,0,0.09
93685,0,0.23
93686,0,0.08
93687,0,0.1
93688,0,0.06
93689,0,0.12
93690,0,0.01
93691,0,0.02
93692,0,0.14
93693,0,0.16
93694,0,0.07
93695,0,0.06
93696,0,0.09
93697,0,0.1
93698,0,0.19
93699,0,0.26
93700,0,0.02
93701,0,0.06
93702,0,0.23
93703,0,0.22
93704,0,0.27
93705,0,0.1
93706,0,0.08
93707,0,0.29
93708,0,0.27
93709,0,0.01
93710,0,0.1
93711,0,0.13
93712,0,0.05
93713,0,0.13
93714,0,0.07
93715,0,0.2
93716,0,0.25
93717,0,0.13
93718,0,0.22
93719,0,0.07
93720,0,0.08
93721,0,0.2
93722,0,0.07
93723,0,0.17
93724,0,0.08
93725,0,0.07
93726,0,0.17
93727,0,0.31
93728,0,0.13
93729,0,0.1
93730,0,0.06
93731,0,0.07
93732,0,0.11
93733,0,0.09
93734,0,0.21
93735,0,0.33
93736,0,0.06
93737,0,0.09
93738,0,0.06
93739,0,0.02
93740,0,0.08
93741,0,0.33
93742,0,0.36
93743,0,0.46
93744,0,0.06
93745,0,0.07
93746,0,0.12
93747,0,0.13
93748,0,0.02
93749,0,0.24
93750,0,0.06
93751,0,0.1
93752,0,0.18
93753,0,0.09
93754,0,0.24
93755,0,0.09
93756,0,0.11
93757,0,0.09
93758,0,0.11
93759,0,0.11
93760,0,0.02
93761,0,0.07
93762,0,0.09
93763,0,0.11
93764,0,0.12
93765,0,0.36
93766,0,0.07
93767,0,0.33
93768,0,0.08
93769,0,0.25
93770,0,0.06
93771,0,0.09
93772,0,0.07
93773,0,0.17
93774,0,0.32
93775,0,0.15
93776,0,0.14
93777,0,0.04
93778,0,0.12
93779,0,0.07
93780,0,0.11
93781,0,0.11
93782,0,0.16
93783,0,0.31
93784,0,0.15
93785,0,0.36
93786,0,0.3
93787,0,0.07
93788,0,0.09
93789,0,0.15
93790,0,0.18
93791,0,0.01
93792,0,0.1
93793,0,0.11
93794,0,0.2
93795,0,0.07
93796,0,0.1
93797,0,0.08
93798,0,0.06
93799,0,0.05
93800,0,0.44
93801,0,0.21
93802,0,0.07
93803,0,0.3
93804,0,0.24
93805,0,0.2
93806,0,0.08
93807,0,0.07
93808,0,0.06
93809,0,0.07
93810,0,0.29
93811,0,0.14
93812,0,0.11
93813,0,0.04
93814,0,0.06
93815,0,0.26
93816,0,0.1
93817,0,0.02
93818,0,0.36
93819,0,0.13
93820,0,0.09
93821,0,0.23
93822,0,0.09
93823,0,0.29
93824,0,0.18
93825,0,0.15
93826,0,0.11
93827,0,0.07
93828,0,0.09
93829,0,0.12
93830,0,0.1
93831,0,0.49
93832,0,0.29
93833,0,0.01
93834,0,0.09
93835,0,0.25
93836,0,0.21
93837,0,0.07
93838,0,0.17
93839,0,0.02
93840,0,0.1
93841,0,0.07
93842,0,0.08
93843,0,0.07
93844,0,0.07
93845,0,0.01
93846,0,0.02
93847,0,0.27
93848,0,0.19
93849,0,0.03
93850,0,0.01
93851,0,0.21
93852,0,0.21
93853,0,0.14
93854,0,0.1
93855,0,0.07
93856,0,0.06
93857,0,0.3
93858,0,0.12
93859,0,0.12
93860,0,0.1
93861,0,0.06
93862,0,0.31
93863,0,0.36
93864,0,0.24
93865,0,0.07
93866,0,0.34
93867,0,0.08
93868,0,0.07
93869,0,0.07
93870,0,0.11
93871,0,0.06
93872,0,0.35
93873,0,0.15
93874,0,0.2
93875,0,0.09
93876,0,0.11
93877,0,0.07
93878,0,0.29
93879,0,0.13
93880,0,0.08
93881,0,0.07
93882,0,0.07
93883,0,0.12
93884,0,0.25
93885,0,0.08
93886,0,0.09
93887,0,0.11
93888,0,0.03
93889,0,0.07
93890,0,0.07
93891,0,0.17
93892,0,0.27
93893,0,0.02
93894,0,0.18
93895,0,0.08
93896,0,0.23
93897,0,0.16
93898,0,0.01
93899,0,0.09
93900,0,0.14
93901,0,0.23
93902,0,0.09
93903,0,0.04
93904,0,0.12
93905,0,0.11
93906,0,0.11
93907,0,0.25
93908,0,0.07
93909,0,0.06
93910,0,0.13
93911,0,0.11
93912,0,0.02
93913,0,0.1
93914,0,0.12
93915,0,0.26
93916,0,0.01
93917,0,0.09
93918,0,0.03
93919,0,0.32
93920,0,0.01
93921,0,0.07
93922,0,0.33
93923,0,0.05
93924,0,0.16
93925,0,0.07
93926,0,0.07
93927,0,0.21
93928,0,0.2
93929,0,0.28
93930,0,0.08
93931,0,0.02
93932,0,0.35
93933,0,0.2
93934,0,0.45
93935,0,0.3
93936,0,0.09
93937,0,0.2
93938,0,0.17
93939,0,0.17
93940,0,0.24
93941,0,0.02
93942,0,0.21
93943,0,0.2
93944,0,0.09
93945,0,0.12
93946,0,0.04
93947,0,0.07
93948,0,0.07
93949,0,0.08
93950,0,0.13
93951,0,0.16
93952,0,0.17
93953,0,0.18
93954,0,0.22
93955,0,0.1
93956,0,0.44
93957,0,0.34
93958,0,0.07
93959,0,0.02
93960,0,0.07
93961,0,0.33
93962,0,0.21
93963,0,0.19
93964,0,0.05
93965,0,0.15
93966,0,0.19
93967,0,0.09
93968,0,0.04
93969,0,0.15
93970,0,0.08
93971,0,0.03
93972,0,0.06
93973,0,0.01
93974,0,0.19
93975,0,0.09
93976,0,0.29
93977,0,0.18
93978,0,0.07
93979,0,0.11
93980,0,0.14
93981,0,0.27
93982,0,0.1
93983,0,0.3
93984,0,0.11
93985,0,0.07
93986,0,0.03
93987,0,0.1
93988,0,0.3
93989,0,0.22
93990,0,0.24
93991,0,0.06
93992,0,0.09
93993,0,0.42
93994,0,0.09
93995,0,0.09
93996,0,0.14
93997,0,0.14
93998,0,0.13
93999,0,0.19
94000,0,0.08
94001,0,0.07
94002,0,0.18
94003,0,0.23
94004,0,0.13
94005,0,0.13
94006,0,0.19
94007,0,0.23
94008,0,0.12
94009,0,0.12
94010,0,0.36
94011,0,0.09
94012,0,0.07
94013,0,0.35
94014,0,0.07
94015,0,0.19
94016,0,0.15
94017,0,0.11
94018,0,0.14
94019,0,0.12
94020,0,0.07
94021,0,0.06
94022,0,0.24
94023,0,0.01
94024,0,0.2
94025,0,0.07
94026,0,0.08
94027,0,0.25
94028,0,0.1
94029,0,0.17
94030,0,0.08
94031,0,0.23
94032,0,0.09
94033,0,0.07
94034,0,0.22
94035,0,0.22
94036,0,0.26
94037,0,0.07
94038,0,0.16
94039,0,0.1
94040,0,0.03
94041,0,0.31
94042,0,0.09
94043,0,0.11
94044,0,0.11
94045,0,0.08
94046,0,0.1
94047,0,0.23
94048,0,0.2
94049,0,0.15
94050,0,0.08
94051,0,0.11
94052,0,0.01
94053,0,0.08
94054,0,0.34
94055,0,0.2
94056,0,0.14
94057,0,0.32
94058,0,0.12
94059,0,0.35
94060,0,0.01
94061,0,0.05
94062,0,0.16
94063,0,0.16
94064,0,0.07
94065,0,0.23
94066,0,0.22
94067,0,0.07
94068,0,0.01
94069,0,0.09
94070,0,0.3
94071,0,0.15
94072,0,0.12
94073,0,0.01
94074,0,0.09
94075,0,0.06
94076,0,0.35
94077,0,0.12
94078,0,0.24
94079,0,0.08
94080,0,0.16
94081,0,0.31
94082,0,0.07
94083,0,0.12
94084,0,0.01
94085,0,0.07
94086,0,0.07
94087,0,0.12
94088,0,0.04
94089,0,0.3
94090,0,0.18
94091,0,0.11
94092,0,0.07
94093,0,0.21
94094,0,0.18
94095,0,0.06
94096,0,0.29
94097,0,0.08
94098,0,0.13
94099,0,0.11
94100,0,0.16
94101,0,0.26
94102,0,0.09
94103,0,0.09
94104,0,0.17
94105,0,0.34
94106,0,0.13
94107,0,0.22
94108,0,0.28
94109,0,0.09
94110,0,0.06
94111,0,0.07
94112,0,0.16
94113,0,0.07
94114,0,0.13
94115,0,0.1
94116,0,0.06
94117,0,0.16
94118,0,0.11
94119,0,0.1
94120,0,0.17
94121,0,0.09
94122,0,0.11
94123,0,0.31
94124,0,0.2
94125,0,0.07
94126,0,0.19
94127,0,0.12
94128,0,0.12
94129,0,0.01
94130,0,0.09
94131,0,0.09
94132,0,0.22
94133,0,0.3
94134,0,0.14
94135,0,0.07
94136,0,0.1
94137,0,0.09
94138,0,0.09
94139,0,0.02
94140,0,0.02
94141,0,0.22
94142,0,0.18
94143,0,0.11
94144,0,0.36
94145,0,0.28
94146,0,0.04
94147,0,0.1
94148,0,0.22
94149,0,0.12
94150,0,0.04
94151,0,0.07
94152,0,0.01
94153,0,0.09
94154,0,0.22
94155,0,0.22
94156,0,0.2
94157,0,0.19
94158,0,0.11
94159,0,0.14
94160,0,0.07
94161,0,0.06
94162,0,0.06
94163,0,0.22
94164,0,0.09
94165,0,0.06
94166,0,0.07
94167,0,0.27
94168,0,0.41
94169,0,0.07
94170,0,0.02
94171,0,0.21
94172,0,0.2
94173,0,0.17
94174,0,0.11
94175,0,0.08
94176,0,0.09
94177,0,0.1
94178,0,0.07
94179,0,0.06
94180,0,0.07
94181,0,0.08
94182,0,0.01
94183,0,0.02
94184,0,0.07
94185,0,0.02
94186,0,0.19
94187,0,0.28
94188,0,0.08
94189,0,0.17
94190,0,0.16
94191,0,0.1
94192,0,0.14
94193,0,0.17
94194,0,0.07
94195,0,0.13
94196,0,0.03
94197,0,0.01
94198,0,0.08
94199,0,0.11
94200,0,0.07
94201,0,0.18
94202,0,0.07
94203,0,0.1
94204,0,0.08
94205,0,0.06
94206,0,0.1
94207,0,0.13
94208,0,0.38
94209,0,0.07
94210,0,0.07
94211,0,0.13
94212,0,0.1
94213,0,0.09
94214,0,0.07
94215,0,0.33
94216,0,0.46
94217,0,0.01
94218,0,0.47
94219,0,0.01
94220,0,0.28
94221,0,0.02
94222,0,0.33
94223,0,0.15
94224,0,0.01
94225,0,0.19
94226,0,0.07
94227,0,0.12
94228,0,0.07
94229,0,0.09
94230,0,0.08
94231,0,0.07
94232,0,0.25
94233,0,0.07
94234,0,0.15
94235,0,0.07
94236,0,0.32
94237,0,0.09
94238,0,0.42
94239,0,0.11
94240,0,0.07
94241,0,0.07
94242,0,0.17
94243,0,0.13
94244,0,0.01
94245,0,0.11
94246,0,0.11
94247,0,0.35
94248,0,0.1
94249,0,0.33
94250,0,0.05
94251,0,0.05
94252,0,0.13
94253,0,0.22
94254,0,0.22
94255,0,0.06
94256,0,0.15
94257,0,0.07
94258,0,0.18
94259,0,0.09
94260,0,0.06
94261,0,0.02
94262,0,0.14
94263,0,0.13
94264,0,0.27
94265,0,0.2
94266,0,0.18
94267,0,0.01
94268,0,0.44
94269,0,0.16
94270,0,0.09
94271,0,0.02
94272,0,0.06
94273,0,0.07
94274,0,0.06
94275,0,0.13
94276,0,0.25
94277,0,0.2
94278,0,0.09
94279,0,0.2
94280,0,0.26
94281,0,0.12
94282,0,0.13
94283,0,0.07
94284,0,0.28
94285,0,0.15
94286,0,0.06
94287,0,0.27
94288,0,0.12
94289,0,0.07
94290,0,0.33
94291,0,0.08
94292,0,0.1
94293,0,0.05
94294,0,0.15
94295,0,0.07
94296,0,0.12
94297,0,0.08
94298,0,0.11
94299,0,0.34
94300,0,0.26
94301,0,0.09
94302,0,0.17
94303,0,0.08
94304,0,0.09
94305,0,0.05
94306,0,0.1
94307,0,0.01
94308,0,0.15
94309,1,0.51
94310,0,0.06
94311,0,0.35
94312,0,0.33
94313,0,0.34
94314,0,0.17
94315,0,0.01
94316,0,0.22
94317,0,0.05
94318,0,0.07
94319,0,0.1
94320,0,0.07
94321,0,0.01
94322,0,0.37
94323,0,0.07
94324,0,0.09
94325,0,0.02
94326,0,0.22
94327,0,0.07
94328,0,0.17
94329,0,0.07
94330,0,0.07
94331,0,0.06
94332,0,0.2
94333,0,0.35
94334,0,0.27
94335,0,0.1
94336,0,0.07
94337,0,0.1
94338,0,0.12
94339,0,0.31
94340,0,0.16
94341,0,0.22
94342,0,0.22
94343,0,0.08
94344,0,0.4
94345,0,0.13
94346,0,0.35
94347,0,0.03
94348,0,0.08
94349,0,0.13
94350,0,0.24
94351,0,0.12
94352,0,0.19
94353,0,0.01
94354,0,0.02
94355,0,0.13
94356,0,0.11
94357,0,0.09
94358,0,0.03
94359,0,0.21
94360,0,0.02
94361,0,0.13
94362,0,0.08
94363,0,0.06
94364,0,0.06
94365,0,0.09
94366,0,0.09
94367,0,0.07
94368,0,0.24
94369,0,0.19
94370,0,0.29
94371,0,0.01
94372,0,0.18
94373,0,0.07
94374,0,0.14
94375,0,0.25
94376,0,0.07
94377,0,0.5
94378,0,0.09
94379,0,0.2
94380,0,0.05
94381,0,0.1
94382,0,0.18
94383,0,0.17
94384,0,0.08
94385,0,0.17
94386,0,0.49
94387,0,0.07
94388,0,0.21
94389,0,0.17
94390,0,0.09
94391,0,0.01
94392,0,0.15
94393,0,0.08
94394,0,0.02
94395,0,0.34
94396,0,0.05
94397,0,0.06
94398,0,0.18
94399,0,0.16
94400,0,0.03
94401,0,0.07
94402,0,0.13
94403,0,0.06
94404,0,0.35
94405,0,0.01
94406,0,0.07
94407,0,0.07
94408,0,0.01
94409,0,0.07
94410,0,0.07
94411,0,0.08
94412,0,0.1
94413,0,0.07
94414,0,0.07
94415,0,0.15
94416,0,0.01
94417,1,0.5
94418,0,0.1
94419,0,0.02
94420,0,0.21
94421,0,0.02
94422,0,0.07
94423,0,0.34
94424,0,0.11
94425,0,0.1
94426,0,0.09
94427,0,0.23
94428,0,0.09
94429,0,0.2
94430,0,0.05
94431,0,0.14
94432,0,0.07
94433,0,0.13
94434,0,0.08
94435,0,0.07
94436,0,0.01
94437,0,0.06
94438,0,0.16
94439,0,0.36
94440,0,0.26
94441,0,0.1
94442,0,0.2
94443,0,0.07
94444,0,0.12
94445,0,0.09
94446,0,0.07
94447,0,0.01
94448,0,0.07
94449,0,0.12
94450,0,0.23
94451,0,0.24
94452,0,0.01
94453,0,0.07
94454,0,0.07
94455,0,0.13
94456,0,0.09
94457,0,0.26
94458,0,0.18
94459,0,0.08
94460,0,0.06
94461,0,0.18
94462,0,0.29
94463,0,0.12
94464,0,0.08
94465,0,0.15
94466,0,0.08
94467,0,0.04
94468,0,0.06
94469,0,0.08
94470,0,0.29
94471,0,0.07
94472,0,0.01
94473,0,0.15
94474,0,0.1
94475,0,0.07
94476,0,0.01
94477,0,0.15
94478,0,0.29
94479,0,0.08
94480,0,0.01
94481,0,0.07
94482,0,0.14
94483,0,0.06
94484,0,0.12
94485,0,0.09
94486,0,0.22
94487,0,0.21
94488,0,0.21
94489,0,0.1
94490,0,0.07
94491,0,0.12
94492,0,0.07
94493,0,0.29
94494,0,0.04
94495,0,0.12
94496,0,0.06
94497,0,0.18
94498,0,0.07
94499,0,0.12
94500,0,0.14
94501,0,0.07
94502,0,0.26
94503,0,0.3
94504,0,0.07
94505,0,0.14
94506,0,0.13
94507,0,0.44
94508,0,0.16
94509,0,0.07
94510,0,0.03
94511,0,0.07
94512,0,0.11
94513,0,0.41
94514,0,0.28
94515,0,0.11
94516,0,0.07
94517,0,0.09
94518,0,0.07
94519,0,0.02
94520,0,0.1
94521,0,0.28
94522,0,0.07
94523,0,0.01
94524,0,0.08
94525,0,0.06
94526,0,0.13
94527,0,0.14
94528,0,0.32
94529,0,0.1
94530,0,0.3
94531,0,0.05
94532,0,0.14
94533,0,0.08
94534,0,0.2
94535,0,0.07
94536,0,0.07
94537,0,0.08
94538,0,0.09
94539,0,0.14
94540,0,0.07
94541,0,0.07
94542,0,0.1
94543,0,0.11
94544,0,0.09
94545,0,0.07
94546,0,0.3
94547,0,0.09
94548,0,0.09
94549,0,0.08
94550,0,0.07
94551,0,0.06
94552,0,0.08
94553,0,0.07
94554,0,0.09
94555,0,0.12
94556,0,0.07
94557,0,0.15
94558,0,0.09
94559,0,0.07
94560,0,0.14
94561,0,0.07
94562,0,0.07
94563,0,0.24
94564,0,0.1
94565,0,0.04
94566,0,0.14
94567,0,0.22
94568,0,0.07
94569,0,0.15
94570,0,0.08
94571,0,0.01
94572,0,0.25
94573,0,0.07
94574,0,0.14
94575,0,0.09
94576,0,0.16
94577,0,0.06
94578,0,0.19
94579,0,0.23
94580,0,0.38
94581,0,0.02
94582,0,0.05
94583,0,0.07
94584,0,0.19
94585,0,0.04
94586,0,0.29
94587,0,0.01
94588,0,0.02
94589,0,0.28
94590,0,0.19
94591,0,0.07
94592,0,0.07
94593,0,0.1
94594,0,0.33
94595,0,0.02
94596,0,0.13
94597,0,0.1
94598,0,0.06
94599,0,0.01
94600,0,0.17
94601,0,0.4
94602,0,0.02
94603,0,0.04
94604,0,0.23
94605,0,0.11
94606,0,0.09
94607,0,0.09
94608,0,0.07
94609,0,0.09
94610,0,0.07
94611,0,0.07
94612,0,0.08
94613,0,0.32
94614,0,0.31
94615,0,0.11
94616,0,0.08
94617,0,0.08
94618,0,0.04
94619,0,0.3
94620,0,0.17
94621,0,0.07
94622,0,0.06
94623,0,0.14
94624,0,0.07
94625,0,0.01
94626,0,0.06
94627,0,0.08
94628,0,0.1
94629,0,0.07
94630,0,0.31
94631,0,0.27
94632,0,0.09
94633,0,0.08
94634,0,0.13
94635,0,0.09
94636,0,0.07
94637,0,0.24
94638,0,0.01
94639,0,0.12
94640,0,0.1
94641,0,0.21
94642,0,0.02
94643,0,0.15
94644,0,0.24
94645,0,0.28
94646,0,0.07
94647,0,0.02
94648,0,0.11
94649,0,0.14
94650,0,0.07
94651,0,0.1
94652,0,0.36
94653,0,0.07
94654,0,0.05
94655,0,0.15
94656,0,0.11
94657,0,0.06
94658,0,0.1
94659,0,0.08
94660,0,0.08
94661,0,0.11
94662,0,0.07
94663,0,0.13
94664,0,0.02
94665,0,0.21
94666,0,0.02
94667,0,0.38
94668,0,0.37
94669,0,0.01
94670,0,0.08
94671,0,0.09
94672,0,0.1
94673,0,0.23
94674,0,0.14
94675,0,0.14
94676,0,0.12
94677,0,0.13
94678,0,0.17
94679,0,0.14
94680,0,0.44
94681,0,0.09
94682,0,0.07
94683,0,0.02
94684,0,0.07
94685,0,0.14
94686,0,0.01
94687,0,0.09
94688,0,0.13
94689,0,0.17
94690,0,0.11
94691,0,0.13
94692,0,0.26
94693,0,0.17
94694,0,0.07
94695,0,0.01
94696,0,0.12
94697,0,0.1
94698,0,0.04
94699,0,0.09
94700,0,0.35
94701,0,0.06
94702,0,0.15
94703,0,0.21
94704,0,0.1
94705,0,0.07
94706,0,0.23
94707,0,0.16
94708,0,0.08
94709,0,0.4
94710,0,0.07
94711,0,0.09
94712,0,0.07
94713,0,0.22
94714,0,0.07
94715,0,0.27
94716,0,0.3
94717,0,0.1
94718,0,0.2
94719,0,0.14
94720,0,0.07
94721,0,0.05
94722,0,0.35
94723,0,0.1
94724,0,0.09
94725,0,0.35
94726,0,0.01
94727,0,0.17
94728,0,0.09
94729,0,0.05
94730,0,0.12
94731,0,0.08
94732,0,0.13
94733,0,0.2
94734,0,0.09
94735,0,0.3
94736,0,0.08
94737,0,0.1
94738,0,0.23
94739,0,0.16
94740,0,0.1
94741,0,0.34
94742,0,0.08
94743,0,0.2
94744,0,0.22
94745,0,0.02
94746,0,0.12
94747,0,0.09
94748,0,0.07
94749,0,0.22
94750,0,0.21
94751,0,0.22
94752,0,0.1
94753,0,0.09
94754,0,0.11
94755,0,0.1
94756,0,0.26
94757,0,0.17
94758,0,0.11
94759,0,0.18
94760,0,0.01
94761,0,0.06
94762,0,0.07
94763,0,0.26
94764,0,0.07
94765,0,0.07
94766,0,0.45
94767,0,0.28
94768,0,0.1
94769,0,0.09
94770,0,0.1
94771,0,0.01
94772,0,0.1
94773,0,0.12
94774,0,0.41
94775,0,0.07
94776,0,0.01
94777,0,0.09
94778,0,0.18
94779,0,0.08
94780,0,0.21
94781,0,0.1
94782,0,0.01
94783,0,0.06
94784,0,0.07
94785,0,0.11
94786,0,0.1
94787,0,0.29
94788,0,0.08
94789,0,0.08
94790,0,0.01
94791,0,0.07
94792,0,0.02
94793,0,0.06
94794,0,0.31
94795,0,0.07
94796,0,0.11
94797,0,0.08
94798,0,0.16
94799,0,0.04
94800,0,0.04
94801,0,0.07
94802,0,0.35
94803,0,0.02
94804,0,0.1
94805,0,0.09
94806,0,0.07
94807,0,0.22
94808,0,0.06
94809,0,0.09
94810,0,0.12
94811,0,0.02
94812,0,0.01
94813,0,0.09
94814,0,0.01
94815,0,0.26
94816,0,0.11
94817,0,0.07
94818,0,0.1
94819,0,0.12
94820,0,0.29
94821,0,0.2
94822,0,0.1
94823,0,0.35
94824,0,0.08
94825,0,0.23
94826,0,0.09
94827,0,0.29
94828,0,0.25
94829,0,0.28
94830,0,0.37
94831,0,0.09
94832,0,0.15
94833,0,0.1
94834,0,0.23
94835,0,0.09
94836,0,0.05
94837,0,0.11
94838,0,0.3
94839,0,0.43
94840,0,0.21
94841,0,0.21
94842,0,0.2
94843,0,0.06
94844,0,0.01
94845,0,0.14
94846,0,0.34
94847,0,0.07
94848,0,0.07
94849,0,0.26
94850,0,0.35
94851,0,0.06
94852,0,0.07
94853,0,0.16
94854,0,0.09
94855,0,0.08
94856,0,0.01
94857,0,0.36
94858,0,0.07
94859,0,0.1
94860,0,0.25
94861,0,0.1
94862,0,0.08
94863,0,0.11
94864,0,0.03
94865,0,0.07
94866,0,0.06
94867,0,0.03
94868,0,0.19
94869,0,0.07
94870,0,0.07
94871,0,0.01
94872,0,0.07
94873,0,0.16
94874,0,0.14
94875,0,0.07
94876,0,0.06
94877,0,0.1
94878,0,0.06
94879,0,0.26
94880,0,0.19
94881,0,0.41
94882,0,0.17
94883,0,0.08
94884,0,0.07
94885,0,0.07
94886,0,0.14
94887,0,0.07
94888,0,0.11
94889,0,0.2
94890,0,0.11
94891,0,0.15
94892,0,0.24
94893,0,0.14
94894,0,0.28
94895,0,0.47
94896,0,0.06
94897,0,0.21
94898,0,0.07
94899,0,0.34
94900,0,0.25
94901,0,0.11
94902,0,0.07
94903,0,0.26
94904,0,0.11
94905,0,0.3
94906,0,0.39
94907,0,0.17
94908,0,0.16
94909,0,0.08
94910,0,0.06
94911,0,0.06
94912,0,0.11
94913,0,0.25
94914,0,0.31
94915,0,0.03
94916,0,0.11
94917,0,0.17
94918,0,0.27
94919,0,0.1
94920,0,0.07
94921,0,0.02
94922,0,0.05
94923,0,0.13
94924,0,0.13
94925,0,0.07
94926,0,0.22
94927,0,0.41
94928,0,0.13
94929,0,0.24
94930,0,0.24
94931,0,0.26
94932,0,0.1
94933,0,0.12
94934,0,0.15
94935,0,0.07
94936,0,0.09
94937,0,0.09
94938,0,0.07
94939,0,0.26
94940,0,0.15
94941,0,0.16
94942,0,0.06
94943,0,0.36
94944,0,0.05
94945,0,0.08
94946,0,0.13
94947,0,0.22
94948,0,0.23
94949,0,0.09
94950,0,0.08
94951,0,0.23
94952,0,0.21
94953,0,0.09
94954,0,0.26
94955,0,0.21
94956,0,0.05
94957,0,0.15
94958,0,0.06
94959,0,0.36
94960,0,0.09
94961,0,0.1
94962,0,0.08
94963,0,0.11
94964,0,0.19
94965,0,0.12
94966,0,0.09
94967,0,0.12
94968,0,0.07
94969,0,0.36
94970,0,0.11
94971,0,0.27
94972,0,0.25
94973,0,0.15
94974,0,0.35
94975,0,0.16
94976,0,0.17
94977,0,0.06
94978,0,0.14
94979,0,0.07
94980,0,0.1
94981,0,0.26
94982,0,0.15
94983,0,0.35
94984,0,0.1
94985,0,0.26
94986,0,0.09
94987,0,0.07
94988,0,0.21
94989,0,0.18
94990,0,0.1
94991,0,0.09
94992,0,0.13
94993,0,0.07
94994,0,0.02
94995,0,0.11
94996,0,0.12
94997,0,0.25
94998,0,0.09
94999,0,0.15
95000,0,0.11
95001,0,0.08
95002,0,0.14
95003,0,0.03
95004,0,0.12
95005,0,0.02
95006,0,0.07
95007,0,0.09
95008,0,0.13
95009,0,0.07
95010,0,0.35
95011,0,0.21
95012,0,0.07
95013,0,0.19
95014,0,0.09
95015,0,0.1
95016,0,0.26
95017,0,0.1
95018,0,0.02
95019,0,0.07
95020,0,0.07
95021,0,0.18
95022,0,0.13
95023,0,0.1
95024,0,0.07
95025,0,0.25
95026,0,0.07
95027,0,0.08
95028,0,0.14
95029,0,0.08
95030,0,0.13
95031,0,0.09
95032,0,0.23
95033,0,0.02
95034,0,0.13
95035,0,0.12
95036,0,0.01
95037,0,0.18
95038,0,0.09
95039,0,0.06
95040,0,0.09
95041,0,0.11
95042,0,0.09
